ccode1,ccode2,state.destination.name,state.destination.abb,state.origin.name,state.origin.abb,dyad.id,min.distance,year
770,820,Malaysia,MAL,Pakistan,PAK,770820,3643.96534,All
770,800,Thailand,THI,Pakistan,PAK,770800,2637.04809,All
770,220,France,FRN,Pakistan,PAK,770220,4746.624301,All
770,2,United States of America,USA,Pakistan,PAK,7702,7240.118841,All
770,255,Germany,GMY,Pakistan,PAK,770255,,All
770,325,Italy,ITA,Pakistan,PAK,770325,3989.620931,All
770,700,Afghanistan,AFG,Pakistan,PAK,770700,0.0,All
770,850,Indonesia,INS,Pakistan,PAK,770850,3317.255206,All
770,200,United Kingdom,UKG,Pakistan,PAK,770200,5372.838077,All
771,220,France,FRN,Bangladesh,BNG,771220,7131.596277,All
771,2,United States of America,USA,Bangladesh,BNG,7712,7820.566752,All
771,20,Canada,CAN,Bangladesh,BNG,77120,7767.256058,All
771,255,Germany,GMY,Bangladesh,BNG,771255,,All
771,200,United Kingdom,UKG,Bangladesh,BNG,771200,7415.196295,All
771,750,India,IND,Bangladesh,BNG,771750,0.0,All
775,740,Japan,JPN,Myanmar,MYA,775740,2324.807607,All
775,800,Thailand,THI,Myanmar,MYA,775800,5.73e-12,All
775,750,India,IND,Myanmar,MYA,775750,1.41e-12,All
780,750,India,IND,Sri Lanka,SRI,780750,57.44405958,All
780,2,United States of America,USA,Sri Lanka,SRI,7802,9896.475084,All
780,200,United Kingdom,UKG,Sri Lanka,SRI,780200,8351.444911,All
800,900,Australia,AUL,Thailand,THI,800900,3329.658756,All
800,255,Germany,GMY,Thailand,THI,800255,,All
811,2,United States of America,USA,Cambodia,CAM,8112,7653.885847,All
811,816,Vietnam,DRV,Cambodia,CAM,811816,0.0,All
812,710,China,CHN,Laos,LAO,812710,1.09e-11,All
812,800,Thailand,THI,Laos,LAO,812800,1.76e-12,All
816,220,France,FRN,Vietnam,DRV,816220,8430.975532,All
816,740,Japan,JPN,Vietnam,DRV,816740,1631.37499,All
816,800,Thailand,THI,Vietnam,DRV,816800,105.6804,All
816,840,Philippines,PHI,Vietnam,DRV,816840,942.2672371,All
816,850,Indonesia,INS,Vietnam,DRV,816850,599.7375096,All
816,200,United Kingdom,UKG,Vietnam,DRV,816200,8510.240646,All
816,2,United States of America,USA,Vietnam,DRV,8162,7028.454758,All
816,210,Netherlands,NTH,Vietnam,DRV,816210,8349.307948,All
816,255,Germany,GMY,Vietnam,DRV,816255,,All
816,710,China,CHN,Vietnam,DRV,816710,1.41e-12,All
820,255,Germany,GMY,Malaysia,MAL,820255,,All
840,2,United States of America,USA,Philippines,PHI,8402,6301.460594,All
840,255,Germany,GMY,Philippines,PHI,840255,,All
850,820,Malaysia,MAL,Indonesia,INS,850820,0.0,All
850,20,Canada,CAN,Indonesia,INS,85020,9598.009906,All
850,2,United States of America,USA,Indonesia,INS,8502,6987.740331,All
850,255,Germany,GMY,Indonesia,INS,850255,,All
850,900,Australia,AUL,Indonesia,INS,850900,207.6974471,All
2,20,Canada,CAN,United States of America,USA,220,,All
2,255,Germany,GMY,United States of America,USA,2255,,All
20,255,Germany,GMY,Canada,CAN,20255,,All
135,2,United States of America,USA,Peru,PER,1352,,All
210,255,Germany,GMY,Netherlands,NTH,210255,,All
220,255,Germany,GMY,France,FRN,220255,,All
255,20,Canada,CAN,Germany,GMY,25520,,All
344,255,Germany,GMY,Croatia,CRO,344255,,All
365,2,United States of America,USA,Russia,RUS,3652,,All
365,290,Poland,POL,Russia,RUS,365290,,All
365,316,Czech Republic,CZR,Russia,RUS,365316,,All
365,373,Azerbaijan,AZE,Russia,RUS,365373,,All
365,705,Kazakhstan,KZK,Russia,RUS,365705,,All
369,2,United States of America,USA,Ukraine,UKR,3692,,All
369,365,Russia,RUS,Ukraine,UKR,369365,,All
369,370,Belarus,BLR,Ukraine,UKR,369370,,All
560,551,Zambia,ZAM,South Africa,SAF,560551,,All
560,572,Swaziland,SWA,South Africa,SAF,560572,,All
630,652,Syria,SYR,Iran,IRN,630652,,All
666,20,Canada,CAN,Israel,ISR,66620,,All
666,255,Germany,GMY,Israel,ISR,666255,,All
710,560,South Africa,SAF,China,CHN,710560,,All
770,820,Malaysia,MAL,Pakistan,PAK,770820,,All
850,820,Malaysia,MAL,Indonesia,INS,850820,,All
471,325,Italy,ITA,Cameroon,CAO,471325,,All
310,255,Germany,GMY,Hungary,HUN,310255,,All
475,560,South Africa,SAF,Nigeria,NIG,475560,,All
339,325,Italy,ITA,Albania,ALB,339325,,All
316,255,Germany,GMY,Czech Republic,CZR,316255,,All
317,255,Germany,GMY,Slovakia,SLO,317255,,All
31,2,United States of America,USA,Bahamas,BHM,312,,All
41,2,United States of America,USA,Haiti,HAI,412,,All
41,42,Dominican Republic,DOM,Haiti,HAI,4142,,All
70,2,United States of America,USA,Mexico,MEX,702,,All
70,255,Germany,GMY,Mexico,MEX,70255,,All
90,70,Mexico,MEX,Guatemala,GUA,9070,,All
91,2,United States of America,USA,Honduras,HON,912,,All
92,90,Guatemala,GUA,El Salvador,SAL,9290,,All
93,2,United States of America,USA,Nicaragua,NIC,932,,All
95,2,United States of America,USA,Panama,PAN,952,,All
100,20,Canada,CAN,Colombia,COL,10020,,All
100,101,Venezuela,VEN,Colombia,COL,100101,,All
100,130,Ecuador,ECU,Colombia,COL,100130,,All
100,135,Peru,PER,Colombia,COL,100135,,All
100,140,Brazil,BRA,Colombia,COL,100140,,All
100,155,Chile,CHL,Colombia,COL,100155,,All
100,160,Argentina,ARG,Colombia,COL,100160,,All
100,210,Netherlands,NTH,Colombia,COL,100210,,All
100,255,Germany,GMY,Colombia,COL,100255,,All
100,325,Italy,ITA,Colombia,COL,100325,,All
101,20,Canada,CAN,Venezuela,VEN,10120,,All
101,70,Mexico,MEX,Venezuela,VEN,10170,,All
101,255,Germany,GMY,Venezuela,VEN,101255,,All
130,2,United States of America,USA,Ecuador,ECU,1302,,All
135,20,Canada,CAN,Peru,PER,13520,,All
135,160,Argentina,ARG,Peru,PER,135160,,All
135,255,Germany,GMY,Peru,PER,135255,,All
140,2,United States of America,USA,Brazil,BRA,1402,,All
140,255,Germany,GMY,Brazil,BRA,140255,,All
155,20,Canada,CAN,Chile,CHL,15520,,All
155,101,Venezuela,VEN,Chile,CHL,155101,,All
155,160,Argentina,ARG,Chile,CHL,155160,,All
155,211,Belgium,BEL,Chile,CHL,155211,,All
155,255,Germany,GMY,Chile,CHL,155255,,All
160,20,Canada,CAN,Argentina,ARG,16020,,All
160,255,Germany,GMY,Argentina,ARG,160255,,All
230,255,Germany,GMY,Spain,SPN,230255,,All
290,20,Canada,CAN,Poland,POL,29020,,All
290,211,Belgium,BEL,Poland,POL,290211,,All
290,255,Germany,GMY,Poland,POL,290255,,All
501,2,United States of America,USA,Kenya,KEN,5012,,All
343,255,Germany,GMY,Macedonia,MAC,343255,,All
344,325,Italy,ITA,Croatia,CRO,344325,,All
346,255,Germany,GMY,Bosnia and Herzegovina,BOS,346255,,All
346,325,Italy,ITA,Bosnia and Herzegovina,BOS,346325,,All
346,344,Croatia,CRO,Bosnia and Herzegovina,BOS,346344,,All
346,349,Slovenia,SLV,Bosnia and Herzegovina,BOS,346349,,All
349,255,Germany,GMY,Slovenia,SLV,349255,,All
350,255,Germany,GMY,Greece,GRC,350255,,All
355,255,Germany,GMY,Bulgaria,BUL,355255,,All
360,2,United States of America,USA,Romania,ROM,3602,,All
360,255,Germany,GMY,Romania,ROM,360255,,All
360,310,Hungary,HUN,Romania,ROM,360310,,All
552,560,South Africa,SAF,Zimbabwe,ZIM,552560,,All
365,20,Canada,CAN,Russia,RUS,36520,,All
365,210,Netherlands,NTH,Russia,RUS,365210,,All
365,211,Belgium,BEL,Russia,RUS,365211,,All
365,220,France,FRN,Russia,RUS,365220,,All
365,225,Switzerland,SWZ,Russia,RUS,365225,,All
365,255,Germany,GMY,Russia,RUS,365255,,All
365,305,Austria,AUS,Russia,RUS,365305,,All
365,325,Italy,ITA,Russia,RUS,365325,,All
365,368,Lithuania,LIT,Russia,RUS,365368,,All
365,369,Ukraine,UKR,Russia,RUS,365369,,All
365,375,Finland,FIN,Russia,RUS,365375,,All
365,380,Sweden,SWD,Russia,RUS,365380,,All
365,385,Norway,NOR,Russia,RUS,365385,,All
365,390,Denmark,DEN,Russia,RUS,365390,,All
365,900,Australia,AUL,Russia,RUS,365900,,All
367,255,Germany,GMY,Latvia,LAT,367255,,All
368,255,Germany,GMY,Lithuania,LIT,368255,,All
369,210,Netherlands,NTH,Ukraine,UKR,369210,,All
369,211,Belgium,BEL,Ukraine,UKR,369211,,All
369,220,France,FRN,Ukraine,UKR,369220,,All
369,255,Germany,GMY,Ukraine,UKR,369255,,All
369,316,Czech Republic,CZR,Ukraine,UKR,369316,,All
369,325,Italy,ITA,Ukraine,UKR,369325,,All
370,2,United States of America,USA,Belarus,BLR,3702,,All
370,255,Germany,GMY,Belarus,BLR,370255,,All
370,365,Russia,RUS,Belarus,BLR,370365,,All
373,2,United States of America,USA,Azerbaijan,AZE,3732,,All
373,20,Canada,CAN,Azerbaijan,AZE,37320,,All
373,220,France,FRN,Azerbaijan,AZE,373220,,All
373,255,Germany,GMY,Azerbaijan,AZE,373255,,All
373,369,Ukraine,UKR,Azerbaijan,AZE,373369,,All
600,325,Italy,ITA,Morocco,MOR,600325,,All
615,230,Spain,SPN,Algeria,ALG,615230,,All
615,255,Germany,GMY,Algeria,ALG,615255,,All
630,640,Turkey,TUR,Iran,IRN,630640,,All
640,210,Netherlands,NTH,Turkey,TUR,640210,,All
640,220,France,FRN,Turkey,TUR,640220,,All
640,225,Switzerland,SWZ,Turkey,TUR,640225,,All
640,350,Greece,GRC,Turkey,TUR,640350,,All
645,800,Thailand,THI,Iraq,IRQ,645800,,All
433,220,France,FRN,Senegal,SEN,433220,,All
652,220,France,FRN,Syria,SYR,652220,,All
437,2,United States of America,USA,Ivory Coast,CDI,4372,,All
437,210,Netherlands,NTH,Ivory Coast,CDI,437210,,All
437,220,France,FRN,Ivory Coast,CDI,437220,,All
437,255,Germany,GMY,Ivory Coast,CDI,437255,,All
437,475,Nigeria,NIG,Ivory Coast,CDI,437475,,All
450,255,Germany,GMY,Liberia,LBR,450255,,All
450,385,Norway,NOR,Liberia,LBR,450385,,All
471,220,France,FRN,Cameroon,CAO,471220,,All
700,2,United States of America,USA,Afghanistan,AFG,7002,,All
475,2,United States of America,USA,Nigeria,NIG,4752,,All
475,20,Canada,CAN,Nigeria,NIG,47520,,All
