ccode1,ccode2,state.destination.name,state.destination.abb,state.origin.name,state.origin.abb,dyad.id,immigrant.population,year
770,255,Germany,GMY,Pakistan,PAK,770255,925.0,1960
770,325,Italy,ITA,Pakistan,PAK,770325,647.0,1960
770,700,Afghanistan,AFG,Pakistan,PAK,770700,22451.0,1960
770,850,Indonesia,INS,Pakistan,PAK,770850,5506.0,1960
770,200,United Kingdom,UKG,Pakistan,PAK,770200,36635.0,1960
771,220,France,FRN,Bangladesh,BNG,771220,13883.0,1960
771,2,United States of America,USA,Bangladesh,BNG,7712,360.0,1960
771,20,Canada,CAN,Bangladesh,BNG,77120,228.0,1960
771,255,Germany,GMY,Bangladesh,BNG,771255,179.0,1960
771,200,United Kingdom,UKG,Bangladesh,BNG,771200,1750.0,1960
771,750,India,IND,Bangladesh,BNG,771750,12501.0,1960
775,740,Japan,JPN,Myanmar,MYA,775740,6.0,1960
775,800,Thailand,THI,Myanmar,MYA,775800,30263.0,1960
775,750,India,IND,Myanmar,MYA,775750,65312.0,1960
780,750,India,IND,Sri Lanka,SRI,780750,30652.0,1960
780,2,United States of America,USA,Sri Lanka,SRI,7802,343.0,1960
780,200,United Kingdom,UKG,Sri Lanka,SRI,780200,11058.0,1960
800,900,Australia,AUL,Thailand,THI,800900,354.0,1960
800,255,Germany,GMY,Thailand,THI,800255,448.0,1960
811,2,United States of America,USA,Cambodia,CAM,8112,1219.0,1960
811,816,Vietnam,DRV,Cambodia,CAM,811816,10.0,1960
812,710,China,CHN,Laos,LAO,812710,10.0,1960
812,800,Thailand,THI,Laos,LAO,812800,8124.0,1960
816,220,France,FRN,Vietnam,DRV,816220,13927.0,1960
816,740,Japan,JPN,Vietnam,DRV,816740,48.0,1960
816,800,Thailand,THI,Vietnam,DRV,816800,2324.0,1960
816,840,Philippines,PHI,Vietnam,DRV,816840,3306.0,1960
816,850,Indonesia,INS,Vietnam,DRV,816850,8997.0,1960
816,200,United Kingdom,UKG,Vietnam,DRV,816200,1775.0,1960
816,2,United States of America,USA,Vietnam,DRV,8162,14419.0,1960
816,210,Netherlands,NTH,Vietnam,DRV,816210,4.0,1960
816,255,Germany,GMY,Vietnam,DRV,816255,827.0,1960
816,710,China,CHN,Vietnam,DRV,816710,74.0,1960
820,255,Germany,GMY,Malaysia,MAL,820255,38.0,1960
840,2,United States of America,USA,Philippines,PHI,8402,111801.0,1960
840,255,Germany,GMY,Philippines,PHI,840255,753.0,1960
850,820,Malaysia,MAL,Indonesia,INS,850820,5398.0,1960
850,20,Canada,CAN,Indonesia,INS,85020,108.0,1960
850,2,United States of America,USA,Indonesia,INS,8502,1793.0,1960
850,255,Germany,GMY,Indonesia,INS,850255,1340.0,1960
850,900,Australia,AUL,Indonesia,INS,850900,5746.0,1960
2,20,Canada,CAN,United States of America,USA,220,,1960
2,255,Germany,GMY,United States of America,USA,2255,,1960
20,255,Germany,GMY,Canada,CAN,20255,,1960
135,2,United States of America,USA,Peru,PER,1352,,1960
210,255,Germany,GMY,Netherlands,NTH,210255,,1960
220,255,Germany,GMY,France,FRN,220255,,1960
255,20,Canada,CAN,Germany,GMY,25520,,1960
344,255,Germany,GMY,Croatia,CRO,344255,,1960
365,2,United States of America,USA,Russia,RUS,3652,,1960
365,290,Poland,POL,Russia,RUS,365290,,1960
365,316,Czech Republic,CZR,Russia,RUS,365316,,1960
365,373,Azerbaijan,AZE,Russia,RUS,365373,,1960
