"","country","bilateral_migration","export_trade_share","migrant_ratio","same_language","touching","Total_pop_left_conflict_zone","individualPerCountry","population","gdp_millions","percent_Refugees_of_Conflict","v2xeg_eqdr","v2x_libdem","remittances","percent_IndividualPerCountry_of_total","total_recored_migrants","percent_IndividualPerCountry_of_recorded","gdp_per_cap","normalized_pop","normalized_refugee","normalized_gdp","normalized_qrdp","normalized_lib","normalized_migr_ratio","normalized_bilateral_migr","normalized_export_trade","normalized_remittances","normalized_touching","normalized_same_language","Afghanistan","Burundi","Central African Republic","Democratic Republic of the Congo","Nigeria","Somalia","South Sudan","Syria","Ukraine","Venezuela"
"24","Iran",318,1.73,3.2,0,1,2221828,38180,83183741,1081383,0.017184048450195,0.801,0.153,0,0.0171840484501951,168750,0.226251851851852,0.0129999322824397,-0.320498972041239,-0.331210018955544,1.13540136069957,1.14785821255327,1.06930928832815,0.432667919050789,-0.577415990118913,-0.538225918859032,-0.577350269189626,0,0,1,0,0,0,0,0,0,0,0,0
"25","Iraq",257096,20.21,0.9,1,1,5721883,256861,40222503,201472,0.044890991304786,0.315,0.056,316,0.0448909913047855,5673335,0.0452751335854484,0.00500893740998664,-0.205640156472163,-0.586109442189625,-0.282221081061089,-0.683924320500364,-1.12782268545699,-0.836889755839587,-0.686470834471842,1.77660854110855,1.78885438199983,0.447213595499958,0.447213595499958,0,0,0,0,0,0,0,1,0,0
"26","Jordan",724847,3.58,33.1,1,1,5721883,674268,11042719,45344,0.117840228470243,0.689,0.199,0,0.117840228470243,5673335,0.11884861373425,0.00410623506764955,-0.881885846842416,-0.307407560525516,-0.770869635872825,0.856965413639011,0.0739555859316058,1.26185246674879,-0.317571006578565,-0.515122768124709,-0.447213595499958,0.447213595499958,0.447213595499958,0,0,0,0,0,0,0,1,0,0
"27","Kenya",11231,0.06,2,1,0,1018762,48284,54985698,109491,0.047394779153522,0.532,0.335,0,0.0473947791535216,982154,0.0491613331514202,0.00199126325540143,1.26492077556301,-0.275685954472835,0.345060396864588,0.629505148362149,1.4841716612137,-0.334834204181954,-0.947551711303376,-0.360626494053082,-0.330206279687471,-1.35400640077266,0.809173593712687,0,0,0,1,0,0,0,0,0,0
"28","Kenya",0,0.046,2,1,1,2351680,139846,54985698,109491,0.059466424003266,0.532,0.335,20,0.0594664240032658,2351680,0.0594664240032658,0.00199126325540143,-0.477635138187859,-0.826072888486158,1.31192572835903,1.59683565497604,1.42383978762746,-0.165521177720474,-0.881118108455579,-0.449782309383651,-0.390854430815399,0,0.447213595499958,0,0,0,0,0,0,1,0,0,0
"29","Kenya",485864,0.18,2,1,1,633429,278998,54985698,109491,0.440456625762319,0.532,0.335,0,0.440456625762319,633429,0.440456625762319,0.00199126325540143,0.118861109224593,1.26605931059379,1.21119550223566,0.774990341893762,1.35556836332924,0.183104771626292,0.995647133760248,1.43755237709894,-0.447213595499958,1.09544511501033,1.09544511501033,0,0,0,0,0,1,0,0,0,0
"30","Lebanon",1209286,3.84,27.2,1,1,5721883,839788,6859408,19126,0.146767768582475,0.562,0.209,0,0.146767768582475,5673335,0.148023693295037,0.00278828726910544,-0.978834680844356,-0.196890162750579,-0.852926587925333,0.333722108195961,0.157996024490248,0.877300320373897,0.0644900979937214,-0.479292934065741,-0.447213595499958,0.447213595499958,0.447213595499958,0,0,0,0,0,0,0,1,0,0
"31","Malawi",2250,0,1.3,0,0,1018762,33089,19129952,12150,0.032479617418003,0.394,0.089,0,0.0324796174180034,982154,0.0336902359507776,0.000635129664726812,-0.417414200247119,-0.400500544657658,-0.464501581484181,0.00490327557142473,-0.862520756516799,-0.720122877487216,-1.02475556382505,-0.36461131719179,-0.330206279687471,-1.35400640077266,-1.13284303119776,0,0,0,1,0,0,0,0,0,0
"32","Mexico",15664,0.05,0.8,1,0,5041821,82978,126014024,1285518,0.016457942477529,0.283,0.204,6,0.0164579424775294,4946842,0.0167739337541001,0.0102013883788046,1.19888671970596,-0.624366750505892,1.60244254498297,-0.701610451877378,-0.390064686546111,-1.16134046325458,0.232150499563543,-0.132493128567109,-0.33152925753668,-0.583874208121142,0.449466574975495,0,0,0,0,0,0,0,0,0,1
"33","Moldova",62728,1.67,2.6,0,1,4320000,401704,2597100,12396,0.092987037037037,0.734,0.356,249,0.092987037037037,4287963,0.0936817785041522,0.00477301605637057,-0.864614338997693,-0.487208306044023,-0.962925397794238,-1.48879571925722,-0.183793596055818,-0.451630384729721,1.09955904753862,-0.631945264330351,1.08794278711938,0,0,0,0,0,0,0,0,0,0,1,0
"34","Niger",98849,0.18,1.3,0,1,336069,187145,24112753,15637,0.556864810500225,0.383,0.412,75,0.556864810500225,336069,0.556864810500225,0.000648495010088645,0.336477228019518,0.883118384057981,-0.482770060962493,1.01400329627446,1.14804867002502,-0.901930007076749,0.418832131632411,-0.240239378069103,1.08534176688197,0,-1.15470053837925,0,0,0,0,1,0,0,0,0,0
"35","Pakistan",1515738,34.31,1.5,0,1,2221828,117550,226992332,261726,0.05290688568152,0.119,0.114,119,0.0529068856815199,168750,0.696592592592593,0.00115301692217515,1.12095771784253,1.12358462434836,-0.385635272896364,-0.682631189538694,-0.157251365930609,-1.14347950034851,1.15470053588544,1.1538358794453,1.15470053837925,0,0,1,0,0,0,0,0,0,0,0,0
"36","Panama",10204,0.01,4.4,1,0,5041821,121598,4379039,60121,0.024117873284276,0.681,0.082,2,0.0241178732842757,4946842,0.0245809346649842,0.0137292679969281,-0.664614808205933,-0.558616140714447,-0.653754387583461,1.03476634762469,-0.87475617668026,0.289419232167544,-0.168486216825929,-0.580931409871169,-0.339435646334302,-0.583874208121142,0.449466574975495,0,0,0,0,0,0,0,0,0,1
"37","Peru",3764,0.01,2.4,1,0,5041821,1286464,34294231,225858,0.255158602417658,0.336,0.193,72,0.255158602417658,4946842,0.260057628685129,0.00658588903772183,-0.206300894657314,1.42457002772993,-0.348599967413702,-0.470384395662278,-0.433766378279518,-0.5165583764003,-0.641032087439152,-0.580931409871169,-0.201073842375905,-0.583874208121142,0.449466574975495,0,0,0,0,0,0,0,0,0,1
"38","Poland",48065,6.88,1.7,0,1,4320000,2514504,38179800,655332,0.582061111111111,0.904,0.156,240,0.582061111111111,4287963,0.586409910719845,0.0171643644021184,1.60940149240794,1.77074179187422,1.63672911596046,0.803733920903353,-0.77476978916134,-1.04937648216612,0.462176981468948,1.68015784463112,1.01398897228498,0,0,0,0,0,0,0,0,0,0,1,0
"39","Republic of the Congo",33186,0.1,1.1,1,1,737973,28985,5657000,12744,0.039276504695971,0.166,0.033,0,0.0392765046959713,735388,0.0394145675480155,0.00225278416121619,-0.926824051637196,-0.875788607650052,-1.01547434982119,-0.991864881823406,-0.700831613120601,-0.978268544825189,-0.813522162971282,-0.464131602320987,-0.447213595499958,0,0.447213595499958,0,0,1,0,0,0,0,0,0,0
"40","Republic of the Congo",266319,0.38,1.1,1,1,1018762,22100,5657000,12744,0.021692996008881,0.166,0.033,0,0.0216929960088814,982154,0.0225015628913592,0.00225278416121619,-1.04955886060396,-0.490766259138804,-0.459561424560181,-1.02704764469151,-1.39672716055301,-0.830205355574434,1.24527495967419,-0.339374103979972,-0.330206279687471,0.67700320038633,0.809173593712687,0,0,0,1,0,0,0,0,0,0
"41","Romania",15698,1.61,2.4,0,1,4320000,662751,19186201,287279,0.153414583333333,0.918,0.043,0,0.153414583333333,4287963,0.154560801947218,0.0149732091308748,0.288802869443125,-0.208227285970536,0.148539556267179,0.992530479504813,-1.10867133826596,-0.584462850826698,-0.944775574793555,-0.658572171535281,-0.958112756632321,0,0,0,0,0,0,0,0,0,0,1,0
"42","Rwanda",64729,1.41,4.3,1,1,263736,47989,12374397,10395,0.18195847362514,0.803,0.146,26,0.18195847362514,263736,0.18195847362514,0.00084004093290364,-1.18715302105846,-0.441442036279935,-1.35823061832942,1.12125339115464,-0.377889884760228,0.89067967796243,-0.407586082974846,-0.667936678883642,0.730894536699858,0.5,0,0,1,0,0,0,0,0,0,0,0
"43","Rwanda",231438,0.02,4.3,1,1,1018762,77116,12374397,10395,0.075695795485108,0.803,0.146,59,0.0756957954851084,982154,0.0785172182773781,0.00084004093290364,-0.734381708258498,-0.0388544793686022,-0.479097499668729,1.85607839130625,-0.318774952408513,0.93111429382105,0.94542554648984,-0.36328304281222,3.15913769074132,0.67700320038633,0.809173593712687,0,0,0,1,0,0,0,0,0,0
"44","Slovakia",10450,1.83,4.4,0,1,4320000,304983,5449270,116748,0.070597916666667,0.816,0.77,7,0.0705979166666667,4287963,0.0711253805128449,0.0214245210826404,-0.666306910560272,-0.590574072524878,-0.540987370028909,-0.382987304591532,1.03952712367261,0.74386181014307,-1.17289949777887,-0.560940178450536,-0.900593122872233,0,0,0,0,0,0,0,0,0,0,1,0
"45","South Africa",50340,52.72,7.2,0,0,1018762,57595,60142978,435145,0.056534303399616,0.044,0.159,0,0.0565343033996164,982154,0.0586415165035219,0.00723517548465924,1.50689796170344,-0.199203647844938,3.05344737149183,-1.57923190904273,-0.194762751471535,2.52731022608571,-0.611356914702746,3.13671994735305,-0.330206279687471,-1.35400640077266,-1.13284303119776,0,0,0,1,0,0,0,0,0,0
"46","Sudan",15909,0.04,2.9,0,1,737973,27867,45709353,35919,0.037761544121533,0.342,0.086,0,0.0377615441215329,735388,0.0378942816581179,0.000785812916669374,0.246052695991083,-0.884079827111329,0.198524889655632,1.32336348954157,1.31786814206374,0.85598497672204,-0.945260067360928,-0.474407578756138,-0.447213595499958,0,-1.78885438199983,0,0,1,0,0,0,0,0,0,0
"47","Sudan",301885,0.05,2.9,1,1,2351680,799911,45709353,35919,0.340144492447952,0.342,0.086,32,0.340144492447952,2351680,0.340144492447952,0.000785812916669374,-0.758950606257661,0.823785809624574,-0.972995173451713,0.133967890051027,-0.599768129719785,0.579324122021657,-0.0659600662251763,-0.446356701543714,-0.287998001653452,0,0.447213595499958,0,0,0,0,0,0,1,0,0,0
